payer,toc,outcome,spec,sample,overall_att,overall_se,n_na_cells,pretrend_p
mdcr,ED,vol_per_bene_mean,sens,c2014,-12.9122266659588,10.8126205370028,0,0.10897
mdcr,ED,vol_per_capita_mean,main,all_cohorts,-2.48301975886039,5.5000025919052,0,0
mdcr,ED,vol_per_capita_mean,main,c2014,-3.42009296163063,6.2966966313363,0,0.25639
mdcr,ED,vol_per_capita_mean,sens,all_cohorts,-9.14877013110402,4.89947758714508,0,0
mdcr,ED,vol_per_capita_mean,sens,c2014,-11.4609881063741,5.55039962369823,0,0.13404
mdcr,IP,spend_per_bene_mean,main,all_cohorts,43.5576850287709,39.463487677478,0,0
mdcr,IP,spend_per_bene_mean,main,c2014,37.5067573974453,41.1520704375493,0,0.73967
mdcr,IP,spend_per_bene_mean,sens,all_cohorts,-58.1163289430374,38.6723334290062,0,0
mdcr,IP,spend_per_bene_mean,sens,c2014,-82.8469378466623,45.924326942867,0,0.1272
mdcr,IP,spend_per_capita_mean,main,all_cohorts,-2.40662067817642,27.7077022905876,0,0
mdcr,IP,spend_per_capita_mean,main,c2014,-7.94565635242214,30.3261341761751,0,0.28148
mdcr,IP,spend_per_capita_mean,sens,all_cohorts,-58.6564787281112,29.344839758041,0,0
mdcr,IP,spend_per_capita_mean,sens,c2014,-74.1305944375165,37.4558879210045,0,0.14782
mdcr,IP,spend_per_vol_mean,main,all_cohorts,53.2074666301874,24.2217507635435,0,0
mdcr,IP,spend_per_vol_mean,main,c2014,73.7309951127968,28.3566365686363,0,0.03131
mdcr,IP,spend_per_vol_mean,sens,all_cohorts,-21.3881809798576,25.8388772164242,0,0
mdcr,IP,spend_per_vol_mean,sens,c2014,-25.1732794916069,31.4733102484406,0,0.97768
mdcr,IP,vol_per_bene_mean,main,all_cohorts,4.28838034745015,2.46955033193193,0,0
mdcr,IP,vol_per_bene_mean,main,c2014,4.11612151224834,2.65948025005778,0,0.77125
mdcr,IP,vol_per_bene_mean,sens,all_cohorts,-2.60328057755269,2.55398986351059,0,0
mdcr,IP,vol_per_bene_mean,sens,c2014,-3.88157330744595,2.85769015434996,0,0.23394
mdcr,IP,vol_per_capita_mean,main,all_cohorts,0.716561858329971,1.73775120604305,0,0
mdcr,IP,vol_per_capita_mean,main,c2014,0.488307025990508,1.89393401552087,0,0.18818
mdcr,IP,vol_per_capita_mean,sens,all_cohorts,-2.94949040150024,2.0478820065743,0,0
mdcr,IP,vol_per_capita_mean,sens,c2014,-3.66357160427636,2.12868535659405,0,0.34149
mdcr,NF,spend_per_bene_mean,main,all_cohorts,26.7340411173631,41.430250728774,0,0
mdcr,NF,spend_per_bene_mean,main,c2014,40.0284488175665,51.5982605448157,0,0.10097
mdcr,NF,spend_per_bene_mean,sens,all_cohorts,-36.4317952770714,32.4137606156624,0,0
mdcr,NF,spend_per_bene_mean,sens,c2014,-38.9307046031049,35.1671572182235,0,0.14624
mdcr,NF,spend_per_capita_mean,main,all_cohorts,13.9475739998801,36.0797371973853,0,0
