payer,toc,outcome,spec,sample,overall_att,overall_se,n_na_cells,pretrend_p
oop,IP,spend_per_vol_mean,sens,c2014,-21.5087147546166,15.9881227445723,0,0.21661
oop,IP,vol_per_capita_mean,main,all_cohorts,-9.35280298013608,6.21719124196274,0,0
oop,IP,vol_per_capita_mean,main,c2014,-12.1483878040422,8.61831097744643,0,0.32091
oop,IP,vol_per_capita_mean,sens,all_cohorts,-5.99754879130478,2.99166188824521,0,0
oop,IP,vol_per_capita_mean,sens,c2014,-7.56330310233416,3.37966557334983,0,0.31387
oop,NF,spend_per_capita_mean,main,all_cohorts,5.1147261637544,8.0640477613565,0,0
oop,NF,spend_per_capita_mean,main,c2014,3.20731210317782,8.5944226730302,0,0.00817
oop,NF,spend_per_capita_mean,sens,all_cohorts,20.9966558886851,8.20318582000182,0,0
oop,NF,spend_per_capita_mean,sens,c2014,20.9023056581691,9.28718535195999,0,0.01227
oop,NF,spend_per_vol_mean,main,all_cohorts,-24.7262099180418,10.9473372029967,0,0
oop,NF,spend_per_vol_mean,main,c2014,-20.229471288646,12.275826812643,0,0.1349
oop,NF,spend_per_vol_mean,sens,all_cohorts,-48.7457497761341,9.75130918720233,0,0
oop,NF,spend_per_vol_mean,sens,c2014,-49.7210933282899,11.6638782247918,0,0.18432
oop,NF,vol_per_capita_mean,main,all_cohorts,12.3898896878686,8.52915905016005,0,0
